Year,Date,SectionID,text,fallacy,subcategory,Speaker,real_date
1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well-equipped, well-trained, well-maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.,AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"We need a strong, credible, effective nuclear deterrent.",AppealtoEmotion,Loaded Language,DUKAKIS,25 9 1988
1988,25Sep,9,"But I don't know of any reputable scientist who believed that this system, at least as originally conceived could possibly work, this notion of some kind of astrodome over ourselves that could protect us from enemy attack.",AppealtoAuthority,Without Evidence,DUKAKIS,25 9 1988
1988,25Sep,9,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",AppealtoAuthority,Without Evidence,DUKAKIS,25 9 1988
1988,25Sep,9,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",AppealtoAuthority,Without Evidence,DUKAKIS,25 9 1988
1988,25Sep,9,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel. Coast Guard cutters tied up at the dock this summer, not patrolling.",AppealtoAuthority,Without Evidence,DUKAKIS,25 9 1988
1988,25Sep,9,Every single one of the Joint Chiefs will testify to the fact that readiness is in an historic high.,AppealtoAuthority,Without Evidence,BUSH,25 9 1988
2008,07Oct,1,an enormous burden,AppealtoEmotion,Loaded Language,OBAMA,7 10 2008
2008,07Oct,1,"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet.",AppealtoEmotion,Appeal to pity,OBAMA,7 10 2008
2008,07Oct,1,"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet.",AppealtoEmotion,Appeal to pity,OBAMA,7 10 2008
2008,07Oct,1,"Americans are angry, they're upset, and they're a little fearful.",AppealtoEmotion,Loaded Language,MCCAIN,7 10 2008
2008,07Oct,1,"Americans are angry, they're upset, and they're a little fearful.",AppealtoEmotion,Loaded Language,MCCAIN,7 10 2008
2008,07Oct,1,"Americans are angry, they're upset, and they're a little fearful.",AppealtoEmotion,Loaded Language,MCCAIN,7 10 2008
2008,07Oct,1,"Americans are angry, they're upset, and they're a little fearful.",AppealtoEmotion,Loaded Language,MCCAIN,7 10 2008
2008,07Oct,1,"Americans are angry, they're upset, and they're a little fearful.",AppealtoEmotion,Loaded Language,MCCAIN,7 10 2008
1992,15Oct,8,"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children.",AppealtoEmotion,Appeal to pity,CLINTON,15 10 1992
1992,15Oct,8,"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,8,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,8,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,8,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,8,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,8,"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,8,"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,8,Till you change it you're gonna be unhappy.,AppealtoEmotion,Appeal to fear,PEROT,15 10 1992
1980,21Sep,6,"With regard to the freedom of the individual for choice with regard to abortion, there's one individual who's not being considered at all. That's the one who is being aborted.",AppealtoEmotion,Appeal to pity,REAGAN,21 9 1980
1980,21Sep,6,"With regard to the freedom of the individual for choice with regard to abortion, there's one individual who's not being considered at all. That's the one who is being aborted.",AppealtoEmotion,Appeal to pity,REAGAN,21 9 1980
1980,21Sep,6,is an unborn child a human being?,AppealtoEmotion,Appeal to pity,REAGAN,21 9 1980
1980,21Sep,6,is an unborn child a human being?,AppealtoEmotion,Appeal to pity,REAGAN,21 9 1980
1980,21Sep,6,is an unborn child a human being?,AppealtoEmotion,Appeal to pity,REAGAN,21 9 1980
1980,21Sep,6,"But whether I agree or disagree with some individual, or what he may say, or how he may say it, I don't think there's any way that we can suggest that because people believe in God and go to church, that they should not want reflected in those people and those causes they support, their own belief in morality, and in the high traditions and principles which we've abandoned so much in this country.",AppealtoAuthority,Appeal to popular opinion,REAGAN,21 9 1980
1980,21Sep,6,separation of church and state,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,freedom of choice,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,freedom of choice,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,freedom of choice,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,First Amendment,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,First Amendment,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,freedom of choice,Slogans,Slogan,ANDERSON,21 9 1980
1980,21Sep,6,right of the individual,Slogans,Slogan,ANDERSON,21 9 1980
1992,15Oct,7,a sorry little post office that can't do anything right,AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,7,"And so I favor, strongly favor, term limits.",AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,7,"I don't think there are any villains, but, boy, is the system rotten.",AppealtoEmotion,Loaded Language,PEROT,15 10 1992
1992,15Oct,7,"I think the American people want it now. Every place I go I talk about it, and I think they want it done.",AppealtoAuthority,Appeal to popular opinion,BUSH,15 10 1992
1992,15Oct,7,"I think the American people want it now. Every place I go I talk about it, and I think they want it done.",AppealtoAuthority,Appeal to popular opinion,BUSH,15 10 1992
1992,15Oct,7,"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.",FalseCause,False cause,BUSH,15 10 1992
1992,15Oct,7,"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",Slipperyslope,Slippery slope,BUSH,15 10 1992
1992,15Oct,7,strongly,AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,7,a sorry little post office,AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,7,strongly favor,AppealtoEmotion,Loaded Language,BUSH,15 10 1992
1992,15Oct,7,an unfair fight,AppealtoEmotion,Loaded Language,CLINTON,15 10 1992
1992,15Oct,7,"I don't think there are any villains, but, boy, is the system rotten",AppealtoEmotion,Loaded Language,PEROT,15 10 1992
1992,15Oct,7,"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",AdHominem,Ad hominem,BUSH,15 10 1992
1992,15Oct,7,If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races,AdHominem,Circumstantial Ad hominem,CLINTON,15 10 1992
1980,28Oct,6,a very bright vista,AppealtoEmotion,Loaded Language,CARTER,28 10 1980
1980,28Oct,6,an unequaled record in the history of our country,AppealtoEmotion,Loaded Language,CARTER,28 10 1980
1980,28Oct,6,literally thousands of unnecessary regulations that invade every facet of business,AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,6,"It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency.",AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,6,"It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency.",AppealtoEmotion,Loaded Language,REAGAN,28 10 1980
1980,28Oct,6,"I am suggesting that there are literally thousands of unnecessary regulations that invade every facet of business, and indeed, very much of our personal lives, that are unnecessary; that Government can do without; that have added $130 billion to the cost of production in this country; and that are contributing their part to inflation.",FalseCause,False cause,REAGAN,28 10 1980
